company,srn,address,city,zip_code,pti_no.,approved,notes
"MULTI-PACKAGING SOLUTIONS, INC",N6727,504 EASTERN AVENUE,ALLEGAN,49010,225-05D,7/6/2011,
"ROPES COURSES, INC",P0254,1300 LINCOLN ROAD,ALLEGAN,49010,15-16,2/10/2016,General PTI
"ROPES COURSES, INC",P0254,1291 LINCOLN ROAD,ALLEGAN,49010,28-18,3/1/2018,General PTI
"ROPES COURSES, INC",P0897,248 NORTH STREET,ALLEGAN,49010,30-18,3/1/2018,General PTI
ADVANCED ARCHITECTURAL PRODUCTS,P1129,959 INDUSTRIAL DRIVE,ALLEGAN,49010,58-20,8/10/2020,
MICHIGAN MATERIALS AND AGGREGATE,N6901,106TH AVENUE - W OF 46TH STREET,CHESHIRE TOWNSHIP,49010,356-00,11/8/2000,General PTI
MICHIGAN MATERIALS AND AGGREGATE,N6902,44TH STREET - NORTH OF 108TH STREET,CHESHIRE TOWNSHIP,49010,357-00,11/8/2000,General PTI
DOUGLAS MARINE CORPORATION,N1263,6780 ENTERPRISE DRIVE,DOUGLAS,49406,69-86B,5/9/2005,
"BIRDS EYE FOODS, INC",B2359,100 SHERMAN ROAD,FENNVILLE,49408,594-96,2/24/1997,
"DARLING INGREDIENTS, INC",N0547,5900 OLD ALLEGAN ROAD,HAMILTON,49419,324-05,2/21/2006,
"DARLING INGREDIENTS, INC",N0547,5900 OLD ALLEGAN ROAD,HAMILTON,49419,208-95C,5/28/2020,
ANR PIPELINE COMPANY,N5574,4193 134TH AVENUE - HAMILTON,HAMILTON,49419,98-20,2/4/2021,
CONSUMERS ENERGY COMPANY,N5792,4131 138TH AVENUE - OVERISEL,HAMILTON,49419,202-19,6/11/2020,
ADVANCED ARCHITECTURAL PRODUCTS,P0686,3393 S M-40,HAMILTON,48625,31-16C,10/4/2019,
COASTAL CONTAINER CORPORATION,B5453,1201 INDUSTRIAL AVENUE,HOLLAND,49422,53-80D,4/8/2010,
"AFCO INDUSTRIES, INC",B6614,615 E 40TH STREET,HOLLAND,49423,192-02,5/29/2003,Rolled into ROP
HOLLAND PANEL PRODUCTS,B6614,615 E 40TH STREET,HOLLAND,49423,209-10,3/21/2011,Rolled into ROP
HOLLAND PANEL PRODUCTS,B6614,615 E 40TH STREET,HOLLAND,49423,114-21,12/21/2021,
TIARA YACHTS,B6619,725 E 40TH STREET - DIVISION OF S2,HOLLAND,49423,84-06A,7/9/2009,Rolled into ROP
"HAWORTH, INC",B7186,1 HAWORTH CENTER,HOLLAND,49423,614-85D,9/17/1998,Rolled into ROP
"HAWORTH, INC",B7186,1 HAWORTH CENTER,HOLLAND,49423,9-16A,5/2/2017,Rolled into ROP
SHERWIN-WILLIAMS COMPANY,B7711,636 E 40TH STREET,HOLLAND,49423,564-96,1/29/1997,Rolled into ROP
SHERWIN-WILLIAMS COMPANY,B7711,636 E 40TH STREET,HOLLAND,49423,282-99A,10/26/2000,Rolled into ROP
SHERWIN-WILLIAMS COMPANY,B7711,636 E 40TH STREET,HOLLAND,49423,129-03A,1/6/2005,Rolled into ROP
SHERWIN-WILLIAMS COMPANY,B7711,636 E 40TH STREET,HOLLAND,49423,52-07A,10/2/2008,Rolled into ROP
VALSPAR CORPORATION,B7711,636 E 40TH STREET,HOLLAND,49423,157-04,8/3/2004,
GENZINK STEEL SUPPLY & WELD,N1744,40 E 64TH STREET,HOLLAND,49423,142-88A,11/6/1997,
GENZINK STEEL SUPPLY & WELD,N1744,40 E 64TH STREET,HOLLAND,49423,334-06,11/1/2006,General PTI
JOHNSON CONTROLS INTERIOR,N2003,1600 S WASHINGTON AVENUE -,HOLLAND,49423,57-10A,7/28/2011,
JOHNSON CONTROLS INTERIORS,N2003,1600 S WASHINGTON AVENUE,HOLLAND,49423,267-00,11/30/2000,
HOLLAND BOARD OF PUBLIC WORKS,N2586,491 E 48TH STREET,HOLLAND,49423,314-99A,6/30/2000,Rolled into ROP
HOLLAND BOARD OF PUBLIC WORKS,N2586,491 E 48TH STREET,HOLLAND,49423,341-90A,1/26/2001,Rolled into ROP
"TECHNO-COAT, INC",N3355,861 E 40TH STREET,HOLLAND,49423,86-07,3/7/2007,General PTI
"TECHNO-COAT, INC",N3355,861 E 40TH STREET,HOLLAND,49423,174-13,3/21/2014,
JOHNSON CONTROLS INTERIORS,N5455,88 E 48TH STREET,HOLLAND,49423,18-00A,5/22/2000,Revised
MOTUS INTEGRATED TECHNOLOGIES,N5455,88 E 48TH STREET - MAPLEWOOD,HOLLAND,49423,139-04D,7/1/2020,
"OTTAWA GAGE, INC",N6195,1271 LINCOLN AVENUE,HOLLAND,49423,748-96,1/17/1997,
"S & M GRAVEL, INC",N7385,4284 M-40,HOLLAND,49423,97-21,11/23/2021,
"MICHIGAN WOOD FUELS, LLC",N7729,1125 INDUSTRIAL AVENUE,HOLLAND,49423,354-06I,6/21/2017,
"SOUTHSIDE BODY SHOP, INC",N8154,A-5220 141ST AVENUE,HOLLAND,49423,289-08,11/7/2008,
"L G ENERGY SOLUTION MICHIGAN, INC",P0087,875 E 48TH STREET,HOLLAND,49423,64-10F,9/16/2021,
WEST SHORE RECYCLING & TRANSFER,P0663,4368 60TH STREET,HOLLAND,49424,193-15A,3/25/2019,
BARBER CREEK SAND & GRAVEL,N8252,2180 23RD STREET,HOPKINS,49328,69-09,6/26/2009,
FRED & CONNIE HOLBROOK,P0497,1840 135TH STREET,HOPKINS,49328,10-14,1/24/2014,General PTI
"VAN ELDEREN, INC",N5140,892 E ALLEGAN STREET,MARTIN,49070,35-94B,11/20/2018,
"VAN ELDEREN, INC",N5140,892 E ALLEGAN STREET,MARTIN,49070,292-07B,1/15/2020,
"BILL SMITH SAND & GRAVEL, INC",N6046,3832 PATTERSON ROAD,MIDDLEVILLE,49333,496-96,9/14/1999,General PTI
"SOUTH KENT GRAVEL, INC",N6652,2803 PATTERSON ROAD,MIDDLEVILLE,49333,56-00,3/1/2000,General PTI
"SOUTH KENT GRAVEL, INC",N6659,2803 PATTERSON ROAD,MIDDLEVILLE,49333,55-00,3/1/2000,General PTI
"AGGREGATE RESOURCES, INC",N5998,130TH AVENUE,MONTEREY TOWNSHIP,49024,302-00,9/13/2000,General PTI
MENASHA CORPORATION,A0023,320 N FARMER STREET - PAPERBOARD,OTSEGO,49078,152-96B,4/12/2001,Rolled into ROP
MENASHA CORPORATION,A0023,320 N FARMER STREET - PAPERBOARD,OTSEGO,49078,222-94A,10/18/2002,Rolled into ROP
"OTSEGO PAPER, INC",A0023,320 N FARMER STREET,OTSEGO,49078,60-03A,5/14/2007,Rolled into ROP
"OTSEGO PAPER, INC",A0023,320 N FARMER STREET,OTSEGO,49078,193-19A,4/22/2021,Rolled into ROP
"OTSEGO PAPER, INC",A0023,320 N FARMER STREET,OTSEGO,49078,11-22,2/1/2022,
"WYOMING ASPHALT PAVING, INC",B6227,470 12TH STREET,PLAINWELL,49080,813-92B,2/12/2015,
"JBS PLAINWELL, INC",B7244,11 11TH STREET,PLAINWELL,49080,71-03D,1/18/2022,
DRUG & LABORATORY DISPOSAL,N0656,331 BROAD STREET,PLAINWELL,49080,759-83A,5/3/2000,
DRUG & LABORATORY DISPOSAL,N0656,331 BROAD STREET,PLAINWELL,49080,236-10,3/18/2011,
DRUG & LABORATORY DISPOSAL,N0656,331 BROAD STREET,PLAINWELL,49080,239-10,3/28/2011,
"BILL SMITH SAND & GRAVEL, INC",N6045,905 46TH STREET CHESHIRE TOWNSHIP,PULLMAN,49450,472-96,9/9/1999,General PTI
AGRI-SCIENCE THECHNOLOGIES,P0718,6135 BLUE STAR HIGHWAY,SAUGATUCK,49453,107-16,7/27/2016,
"GOODALE ENTERPRISES, LLC",B7189,"SEC 17, T3N, R11W",WAYLAND,49544,35-80C,3/5/2003,
"ROCKY-TOP SAND & GRAVEL, LLC",P0143,91 141ST AVENUE,WAYLAND,49348,165-10,9/1/2010,General PTI
"SEBRIGHT PRODUCTS, INC",P0401,2631 12TH STREET,WAYLAND,49348,28-15,2/13/2015,General PTI
AMERICAN RACK COMPANY,P0893,1125 MORREN COURT,WAYLAND,49348,16-18,4/30/2018,
"BLACK GOLD TRANSPORT, INC",P1138,4237 COMMERCE DRIVE,WAYLAND,49348,83-20,9/21/2020,
"BRIGHTMARK CROSSROADS RNG, LLC",P1207,86 141ST AVENUE,WAYLAND,49348,60-21,8/30/2021,
"PANEL PROCESSING, INC",A0085,120 N INDUSTRIAL HIGHWAY,ALPENA,49707,243-09A,4/27/2016,
EVERETT GOODRICH TRUCKING,A0098,5614 WESSEL ROAD,ALPENA,49707,221-99A,11/29/2004,
BESSER COMPANY,A0099,801 JOHNSON STREET,ALPENA,49707,176-00,8/8/2000,
"AMERICAN PROCESS, INC",B1476,416 FORD AVENUE,ALPENA,49707,73-10B,7/20/2011,Rolled into ROP
DECORATIVE PANELS INTERNATIONAL,B1476,416 FORD AVENUE,ALPENA,49707,335-06,11/13/2006,Rolled into ROP
DECORATIVE PANELS INTERNATIONAL,B1476,416 FORD AVENUE,ALPENA,49707,178-07,7/19/2007,Rolled into ROP
DECORATIVE PANELS INTERNATIONAL,B1476,416 FORD AVENUE - ALPENA BIOREFINERY,ALPENA,49707,54-20,6/2/2020,
"DECORATIVE PANELS INTERNATIONAL,",B1476,416 FORD AVENUE,ALPENA,49707,274-07,9/27/2007,Rolled into ROP
"DECORATIVE PANELS INTERNATIONAL,",B1476,416 FORD AVENUE,ALPENA,49707,4-15,6/15/2015,Rolled into ROP
"DECORATIVE PANELS INTERNATIONAL,",B1476,416 FORD AVENUE,ALPENA,49707,4-15A,10/15/2015,Rolled into ROP
"DECORATIVE PANELS INTERNATIONAL,",B1476,416 FORD AVENUE,ALPENA,49707,208-15,12/3/2015,
LOUISIANA-PACIFIC CORPORATION,B1476,416 FORD AVENUE,ALPENA,49707,158-00A,3/12/2001,Rolled into ROP
LOUISIANA-PACIFIC CORPORATION,B1476,416 FORD AVENUE,ALPENA,49707,350-95A,9/17/2003,Rolled into ROP
LOUISIANA-PACIFIC CORPORATION,B1476,416 FORD AVENUE,ALPENA,49707,340-76C,9/17/2003,Rolled into ROP
"HOLCIM (US), INC dba LAFARGE ALPENA",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,155-19,3/10/2020,Rolled into ROP
"HOLCIM (US), INC dba LAFARGE ALPENA",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,171-15A,1/29/2021,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,356-88E,1/5/1999,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,268-97,6/2/2000,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,126-86D,6/2/2000,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,622-89C,7/28/2000,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,195-10B,5/17/2013,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,89-13A,12/9/2013,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,106-08A,10/23/2014,Rolled into ROP
"LAFARGE MIDWEST, INC",B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,171-15,9/13/2016,Rolled into ROP
LAFARGE NORTH AMERICA,B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,165-03,8/3/2004,Rolled into ROP
LAFARGE NORTH AMERICA,B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,166-93A,8/3/2004,Rolled into ROP
LAFARGE NORTH AMERICA,B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,15-05,6/20/2005,Rolled into ROP
LAFARGE NORTH AMERICA,B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,106-08,6/23/2009,Rolled into ROP
LAFARGE NORTH AMERICA,B1477,1435 FORD AVENUE - ALPENA PLANT,ALPENA,49707,195-10A,12/21/2010,Rolled into ROP
FIBER CHAR CORPORATION,N1271,3336 PIPER ROAD,ALPENA,49707,268-88A,5/23/2008,
QUEST INDUSTRIAL CORPORATION,N3501,1995 E HAMILTON ROAD,ALPENA,49707,138-03,6/10/2003,General PTI
SPECIFICATION STONE PRODUCTS,N5141,1009 LONG LAKE AVENUE,ALPENA,49707,263-04,11/1/2004,General PTI
"CONVEYOR SYSTEMS, INC",N7236,167 N INDUSTRIAL HIGHWAY,ALPENA,49707,145-03,12/15/2003,
"ALPENA AGGREGATE, INC",N7259,7590 WEISS ROAD,ALPENA,49707,134-03,6/6/2003,General PTI
BRIAN WALBORN,N7266,1471 W WASHINGTON AVENUE,ALPENA,49707,166-03,9/10/2003,
"LAMBDA ENERGY RESOURCES, LLC",N8075,"SW 1/4 SW 1/4 NE 1/4 SEC 36, T29N, R6E -",ALPENA,49707,200-08A,11/19/2010,
"ELMER'S CRANE & DOZER, INC",P0505,3830 HAMILTON ROAD,ALPENA,49707,27-14,3/7/2014,General PTI
"ELMER'S CRANE & DOZER, INC",P0507,3830 HAMILTON ROAD,ALPENA,49707,29-14,3/7/2014,General PTI
"RIVERSIDE ENERGY MICHIGAN, LLC",N7462,"SEC 24, T30N, R5E",EAST GREEN TOWNSHIP,49753,236-05,3/28/2006,
"HRF PRODUCTION & EXPLORATION, INC",N6242,"NW SE SE SEC 9, T29N, R5E - WALKING",FLANDERS,49707,50-98C,1/26/2012,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7453,"SEC 5, T30N, R6E",GREEN EAST TOWNSHIP,49753,235-05,3/28/2006,
"JORDAN DEVELOPMENT COMPANY, LLC",N7868,NE NE NW SEC 13,GREEN TOWNSHIP,49707,312-07,12/3/2007,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7532,"SEC 9, T30N, R5E",GREEN WEST TOWNSHIP,49746,239-05,3/30/2006,
"NORTHERN PROMOTIONS, LLC",P0786,12595 LONG RAPIDS ROAD,LACHINE,49753,22-17,2/13/2017,General PTI
"RIVERSIDE ENERGY MICHIGAN, LLC",N7525,"SEC 1, T29N, R6E",OSSINEKE CENTRAL,49735,244-05,3/28/2006,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0148,"SW 1/4 NW 1/4 SW 1/4 SEC 10, T29N, R5E -",OSSINEKE TOWNSHIP,49747,164-10A,12/17/2020,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0016,FLINT NAPPERS CPF,WILSON TOWNSHIP,49707,285-09,1/4/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7090,SECTION 9 - JORDAN 9,ALBA,49611,9-10,2/3/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0100,"SEC 7, T29N, R7W",BELLAIRE,49615,76-10,5/10/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0006,"SW NW SEC 15, T31N, R8W - CENTRAL",CENTRAL LAKE,49622,254-09B,2/25/2015,
"RIVERSIDE ENERGY MICHIGAN, LLC",N5694,2467 CEDAR RIVER ROAD - MANCELONA -,CHESTONIA TOWNSHIP,49611,365-95D,4/20/2021,
"PAXTON RESOURCES, LLC",N7217,NE SE NE SEC 27,CHESTONIA TOWNSHIP,49611,227-03,10/27/2003,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7706,"NW 1/4 NE1/4 SEC 31, T30N, R6W -",CHESTONIA TOWNSHIP,49659,20-07D,10/6/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7094,SECTION 33,CUSTER TOWNSHIP,49615,312-08A,10/29/2015,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7592,3996 DB TRAIL - CUSTER 7 CPF,CUSTER TOWNSHIP,49615,96-06D,1/22/2018,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0023,SECTION 10 - ECHO 10 CPF,ECHO TOWNSHIP,49622,289-09,1/20/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0875,"SE NW SE SEC 9, T31N, R7W",ECHO TOWNSHIP,49622,153-17A,5/14/2019,
"PAYNE & DOLAN, INC",N0436,1135 THUMM ROAD,ELMIRA,49730,274-82BP,11/24/2008,
DCP MIDSTREAM,N5309,336 FRANKOWIAK ROAD,ELMIRA,49730,271-94A,8/24/2009,
"EAST JORDAN FOUNDRY, LLC",N6052,2673 US-131 NORTH,ELMIRA,49730,185-16B,12/10/2019,
"RIETH-RILEY CONSTRUCTION COMPANY,",P0891,573 US-131 SOUTH,ELMIRA,49730,10-18,5/7/2018,
"RIVERSIDE ENERGY MICHIGAN, LLC",N6054,ELMIRA 14 CPF,ELMIRA TOWNSHIP,49730,282-09,1/8/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0033,HELENA 23 CPF,HELENA TOWNSHIP,49612,10-10,3/2/2010,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7093,"SW 1/4 NW 1/4 SEC 10, T30N, R7W",KEARNEY TOWNSHIP,49622,327-06,12/13/2006,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0020,KEARNEY 26 CPF,KEARNEY TOWNSHIP,48888,288-09,1/21/2010,
"JORDAN DEVELOPMENT COMPANY, LLC",N7817,4600 CAIRN HIGHWAY,KEWADIN,49648,193-07,6/25/2007,
"RIVERSIDE ENERGY MICHIGAN, LLC",N7457,"SEC 8, T29N, R5W - MANCELONA 8 CPF",MACELONA EAST,49659,233-05,4/3/2006,
"LAMBDA ENERGY RESOURCES, LLC",N6234,SAND LAKE ROAD - MANCELONA B,MANCELONA,49659,102-97A,7/9/2008,
"QUICKSILVER RESOURCES, INC",N7607,SW 1/4 SW 1/4 NW 1/4 SEC 26,MANCELONA EAST,49735,134-06,6/7/2006,
"RIVERSIDE ENERGY MICHIGAN, LLC",N6100,"SW 1/4 SW 1/4 SEC 19, T29N, R6W -",MANCELONA TOWNSHIP,49659,550-97B,3/31/2010,
"QUICKSILVER RESOURCES, INC",N6138,"NE 1/4 SW 1/4 SEC 4, T29N, R6W",MANCELONA TOWNSHIP,49659,696-96A,6/6/2005,
"RIVERSIDE ENERGY MICHIGAN, LLC",P0478,"E 1/2 SE 1/4 SEC 11, T29N, R6W - BIJOU C4-",MANCELONA TOWNSHIP,49659,169-13,2/18/2014,
BREITBURN OPERATING,N7566,SE 4 SE 4 SEC 29,MANCELONA WEST,49735,142-19,10/9/2019,
"JORDAN DEVELOPMENT COMPANY, LLC",N6130,"NW 1/4 SEC 23, T30N, R5W",STAR TOWNSHIP,49611,688-96A,1/15/2008,
"NORTHERN PAINTING & COATINGS, INC",N7789,615 S SUPERIOR AVENUE,BARAGA,49908,134-07,4/18/2007,General PTI
"PENINSULA POWDER COATING, INC",N7959,128 HEMLOCK STREET,BARAGA,49908,55-20,8/18/2020,
CERTAINTEED CEILINGS CORPORATION,B1479,200 S MAIN STREET,L'ANSE,49946,315-01C,10/16/2019,
"L'ANSE WARDEN ELECTRIC COMPANY, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,168-07D,10/25/2012,
"L'ANSE WARDEN ELECTRIC COMPANY, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,67-16,10/31/2016,Rolled into ROP
"L'ANSE WARDEN ELECTRIC COMPANY, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,128-18,3/29/2019,Rolled into ROP
"L'ANSE WARDEN ELECTRIC COMPANY, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,128-18A,12/18/2020,Rolled into ROP
"L'ANSE WARDEN ELECTRIC POWER, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,168-07,10/29/2007,Rolled into ROP
"L'ANSE WARDEN ELECTRIC POWER, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,168-07A,5/30/2008,Rolled into ROP
"L'ANSE WARDEN ELECTRIC POWER, LLC",B4260,157 S MAIN STREET,L'ANSE,49946,168-07B,4/16/2010,Rolled into ROP
"R H HUHTALA AGGREGATES, INC",N6590,"SEC 12, T49N, R34W",L'ANSE,49946,75-01,2/21/2001,General PTI
UPPER MICHIGAN ENERGY RESOURCES,P0796,16017 SARYA ROAD,PELKIE,49958,34-17C,1/18/2022,
HASTINGS MANUFACTURING COMPANY,A0171,325 N HANOVER STREET - A DELAWARE,HASTINGS,49058,277-86A,3/19/2021,
CAPPON OIL COMPANY,B8069,1601 S BEDFORD ROAD,HASTINGS,49058,107-05,4/25/2005,General PTI
PENNOCK HOSPITAL,C2612,1009 W GREEN STREET,HASTINGS,49058,40-98,1/30/1998,General PTI
"TRI-CLOR, INC",N7425,1012 ENTERPRISE DRIVE,HASTINGS,49058,24-05C,7/16/2008,
BARRY COUNTY ANIMAL CONTROL,N7805,540 N INDUSTRIAL DRIVE,HASTINGS,49058,164-07,7/2/2007,
HASTINGS FIBERGLASS PRODUCTS,P0795,W GREEN STREET,HASTINGS,49058,33-17B,8/15/2018,
CALEDONIA FARMERS ELEVATOR,N7145,9260 EATON HIGHWAY,LAKE ODESSA,48849,135-02,6/10/2002,General PTI
BRADFORD-WHITE CORPORATION,A0169,200 LAFAYETTE STREET,MIDDLEVILLE,49333,207-04D,3/4/2019,
"WDS VENTURES, LLC",N6730,11378 CHIEF NOONDAY ROAD,MIDDLEVILLE,49333,463-99,12/16/1999,General PTI
"RUSS PARKER EXCAVATING, GRAVEL &",N6848,8022 IRVING ROAD,MIDDLEVILLE,49333,236-00,8/1/2000,General PTI
"EURO LIGHTING DESIGNS, INC",N7273,945 GRAND RAPIDS STREET,MIDDLEVILLE,49333,226-03F,11/4/2019,
"EURO LIGHTING DESIGNS, INC",N7273,945 GRAND RAPIDS STREET,MIDDLEVILLE,49333,226-03G,2/8/2022,
DOW SILICONES CORPORATION,B4022,5300 11 MILE ROAD,AUBURN,48611,13-14C,12/11/2018,
"SK SILTRON CSS, LLC",B4022,5300 11 MILE ROAD - US-9,AUBURN,48611,184-18,12/11/2018,
DELTA COLLEGE,N5930,1961 DELTA DRIVE,AUBURN,48710,252-96A,4/15/2002,
"FAIR ENERGIES, INC",N7329,"SEC 7, R5E",BANGOR TOWNSHIP,48706,32-04A,4/17/2019,
"FAIR ENERGIES, INC",N7331,"SEC 7, T14N, R5E",BANGOR TOWNSHIP,48706,56-04,9/22/2004,
"BAY CAST, INC",A0233,400 WEBSTER STREET,BAY CITY,48708,1083-89A,8/5/2008,
BAY CITY WWTP,B1486,2905 N WATER STREET,BAY CITY,48708,424-88A,10/27/2004,
MICHIGAN SUGAR COMPANY,B1493,2600 S EUCLID AVENUE,BAY CITY,48706,350-06,6/20/2007,Rolled into ROP
MICHIGAN SUGAR COMPANY,B1493,2600 S EUCLID AVENUE,BAY CITY,48706,245-10,4/19/2011,Rolled into ROP
MONITOR SUGAR COMPANY,B1493,2600 S EUCLID AVENUE,BAY CITY,48706,1295-91B,8/27/1997,Rolled into ROP
MONITOR SUGAR COMPANY,B1493,2600 S EUCLID AVENUE,BAY CITY,48706,249-90B,8/27/1997,Rolled into ROP
MONITOR SUGAR COMPANY,B1493,2600 S EUCLID AVENUE,BAY CITY,48706,265-00,7/24/2001,Rolled into ROP
GENERAL MOTORS CORPORATION,B2460,1001 WOODSIDE AVENUE - CHEVROLET-,BAY CITY,48708,31-05,5/1/2005,
"MPLX TERMINALS, LLC",B6037,1806 MARQUETTE STREET - BAY CITY,BAY CITY,48706,223-96E,8/8/2016,
BAY CITY ELECTRIC LIGHT & POWER,B7529,900 S WATER STREET,BAY CITY,48708,587-96A,9/16/2015,
MERSEN USA BN CORPORATION,M0705,900 HARRISON STREET - BAY CITY,BAY CITY,48708,7-05H,7/15/2015,
BAY COUNTY ANIMAL CONTROL,M3614,800 LIVINGSTON AVENUE,BAY CITY,48708,243-04,11/16/2004,
"GOUGEON BROTHERS, INC",N0793,100 PATTERSON AVENUE,BAY CITY,48706,757-93,4/5/2007,
"ACRA CAST, INC",N0940,1837 1ST STREET,BAY CITY,48708,297-04,7/19/2005,
"BAY CARBON, INC",N1832,800 MARQUETTE STREET,BAY CITY,48706,43-06A,4/18/2011,
"BAY CARBON, INC",N1832,800 MARQUETTE STREET,BAY CITY,48706,261-07B,4/15/2015,
"BAY CARBON, INC",N1832,800 MARQUETTE STREET,BAY CITY,48706,43-06B,2/21/2017,
KERKAU MANUFACTURING,N2147,910 TRUMAN PARKWAY,BAY CITY,48706,137-96B,12/22/2020,
BAY CITY ELECTRIC LIGHT & POWER,N3195,619 S HENRY STREET,BAY CITY,48708,823-91B,9/16/2015,
SUNSET VALLEY CREMATORY,N3247,1617 LEWIS STREET - MARQUETTE,BAY CITY,48706,105-11,7/26/2011,
SUNSET VALLEY CREMATORY,N3247,1617 LEWIS STREET - MARQUETTE,BAY CITY,48706,44-15,5/15/2015,
BREITBURN OPERATING LP,N6076,3 MILE ROAD - MONITOR 11 CPF,BAY CITY,48706,628-96C,6/15/2011,
