srn,city,approved,notes,id,name,zip_code,county,full_address,geometry,source_id,fce
P0718,SAUGATUCK,7/27/2016,,P0718,AGRI-SCIENCE TECHNOLOGIES,49453.0,ALLEGAN,"6135 BLUE STAR HIGHWAY, SAUGATUCK, MI","[-86.1477903, 42.690614]",,0.0
B7189,WAYLAND,3/5/2003,,B7189,GOODALE ENTERPRISES WAYLAND FACILITY,49348.0,ALLEGAN,"S TENTH ST, WAYLAND, MI","[-85.64323639999999, 42.673798]",B7189,2.0
P0143,WAYLAND,9/1/2010,General PTI,P0143,ROCKY-TOP SAND & GRAVEL LLC,49348.0,ALLEGAN,"91 141ST AVE, WAYLAND, MI","[-85.5557141, 42.717714]",,0.0
P0401,WAYLAND,2/13/2015,General PTI,P0401,SEBRIGHT PRODUCTS INC.,49348.0,ALLEGAN,"2631 12TH STREET, WAYLAND, MI","[-85.6623511, 42.6098997]",,0.0
P0893,WAYLAND,4/30/2018,,P0893,AMERICAN RACK COMPANY,49348.0,ALLEGAN,"1125 MORREN COURT, WAYLAND, MI","[-85.65576949999999, 42.7286657]",,0.0
P1138,WAYLAND,9/21/2020,,P1138,"BLACK GOLD TRANSPORT, INC.",49348.0,ALLEGAN,"4237 COMMERCE DRIVE, WAYLAND, MI","[-85.6520436, 42.672927]",,0.0
P1207,WAYLAND,8/30/2021,,P1207,"BRIGHTMARK CROSSROADS RNG, LLC",49348.0,ALLEGAN,"86 141ST AVENUE, WAYLAND, MI","[-85.5541787, 42.7176808]",,0.0
A0085,ALPENA,4/27/2016,,A0085,PANEL PROCESSING INC,49707.0,ALPENA,"120 N INDUSTRIAL HWY, ALPENA, MI","[-83.45823329999999, 45.0998183]",A0085,2.0
A0098,ALPENA,11/29/2004,,A0098,EVERETT GOODRICH TRUCKING INC,49707.0,ALPENA,"5614 WESSEL ROAD, ALPENA, MI","[-83.41262809999999, 45.12863919999999]",A0098,2.0
A0099,ALPENA,8/8/2000,,,,,,,,,
B1476,ALPENA,7/20/2011,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,11/13/2006,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,7/19/2007,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,6/2/2020,,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,9/27/2007,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,6/15/2015,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,10/15/2015,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,12/3/2015,,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,3/12/2001,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,9/17/2003,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1476,ALPENA,9/17/2003,Rolled into ROP,B1476,DECORATIVE PANELS INTERNATIONAL/ALPENA BIOREFINERY,49707.0,ALPENA,"416  FORD AVE., ALPENA, MI","[-83.42395650000002, 45.0642568]",B1476,1.0
B1477,ALPENA,3/10/2020,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,1/29/2021,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,1/5/1999,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,6/2/2000,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,6/2/2000,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,7/28/2000,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,5/17/2013,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,12/9/2013,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,10/23/2014,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,9/13/2016,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,8/3/2004,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,8/3/2004,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,6/20/2005,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,6/23/2009,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
B1477,ALPENA,12/21/2010,Rolled into ROP,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,49707.0,ALPENA,"1435  FORD AVENUE, ALPENA, MI","[-83.4155838, 45.0701441]",B1477,5.0
N1271,ALPENA,5/23/2008,,N1271,FIBER CHAR CORP,49707.0,ALPENA,"3336 PIPER RD, ALPENA, MI","[-83.4805295, 45.026958]",N1271,1.0
N3501,ALPENA,6/10/2003,General PTI,N3501,QUEST INDUSTRIAL CORPORATION,49707.0,ALPENA,"1995 EAST HAMILTON ROAD, ALPENA, MI","[-83.4111942, 45.1048998]",,0.0
N5141,ALPENA,11/1/2004,General PTI,N5141,SPECIFICATION STONE PRODUCTS INC. - ALPENA QUARRY,49707.0,ALPENA,"1009 LONG LAKE AVE., ALPENA, MI","[-83.4312755, 45.0793307]",,0.0
N7236,ALPENA,12/15/2003,,N7236,CONVEYOR SYSTEMS INC.,49707.0,ALPENA,"167 N. INDUSTRIAL HWY., ALPENA, MI","[-83.4577491, 45.1032836]",N7236,2.0
N7259,ALPENA,6/6/2003,General PTI,N7259,ALPENA AGGREGATE INC.,49707.0,ALPENA,"7590 WEISS RD., ALPENA, MI","[-83.41716249999999, 45.1549011]",,0.0
N7266,ALPENA,9/10/2003,,N7266,"WALBORN, BRIAN - SUNRISE CREMATORY COMPANY",49707.0,ALPENA,"1471 W. WASHINGTON AVE., ALPENA, MI","[-83.4664785, 45.0618521]",,0.0
N8075,ALPENA,11/19/2010,,N8075,"LAMBDA ENERGY RESOURCES, LLC - 35-12 UNIT",49753.0,ALPENA,"14696 M-65 SOUTH, LACHINE, MI","[-83.77968779999999, 44.85897310000001]",N8075,2.0
P0505,ALPENA,3/7/2014,General PTI,P0505,ELMER'S CRANE & DOZER INC.-NORTHERN AGGREGATE,49707.0,ALPENA,"3830 HAMILTON RD., ALPENA, MI","[-83.4111532, 45.0977757]",,0.0
P0507,ALPENA,3/7/2014,General PTI,P0507,"ELMER'S CRANE & DOZER, INC.-NORTHERN AGGREGATE 2",49707.0,ALPENA,"3830 HAMILTON RD., ALPENA, MI","[-83.4111532, 45.0977757]",,0.0
N7462,EAST GREEN TOWNSHIP,3/28/2006,,N7462,RIVERSIDE - BLUE HERRON CPF,49753.0,ALPENA,"SEC 24 30N 05E NE NE SE, LACHINE, MI","[-83.71609839999999, 45.0775111]",N7462,1.0
N6242,FLANDERS,1/26/2012,,N6242,HRF EXPLORATION & PRODUCTION - WEST OSSINEKEE 9,49707.0,ALPENA,"NW SE SE, T29N-R5E, SECTION 9, FLANDERS, MI","[-85.60236429999999, 44.3148443]",N6242,2.0
