id,name_x,zip_code,county,full_address,geometry,fce,sar,violations,total,income_poverty_level,white_pct,black_pct,am_indian_ak_native_pct,asian_pct,hi_pc_islander_pct,other_pct,srn,approved,years,years_converted,fce_per_year
B6501,SPECIALTY STEEL TREATING INC.,48026,MACOMB,"34501 COMMERCE ROAD, FRASER, MI","[-82.9436858, 42.550906]",0.0,3.0,1.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,B6501,2001-10-31,20.4165725511133,9.0,0.0
P1217,AVANCEZ HIGHLAND PARK,48030,OAKLAND,"1430 E 10 MILE ROAD, HAZEL PARK, MI","[-83.0874226, 42.475681]",0.0,0.0,0.0,16443.0,22.6,78.8,13.3,0.4,1.4,0.1,6.0,P1217,2021-09-14,0.544843494390713,0.544843494390713,0.0
B7773,K C JONES PLATING CO DIV OF CHEMETCO,48030,OAKLAND,"321 W 10 MILE RD, HAZEL PARK, MI","[-83.10717269999999, 42.4758697]",0.0,1.0,0.0,16443.0,22.6,78.8,13.3,0.4,1.4,0.1,6.0,B7773,2004-09-03,17.57462507785923,9.0,0.0
N6385,"AMC-MID MICHIGAN MATERIALS, LLC",48032,SAINT CLAIR,"6966 FISHER RD, JEDDO, MI","[-82.62064, 43.164899]",0.0,1.0,0.0,1872.0,5.7,94.0,1.5,0.5,1.2,0.3,2.5,N6385,1999-10-21,22.445361643291786,9.0,0.0
N1127,DENSO INTERNATIONAL AMERICA INC,48034,OAKLAND,"24777 DENSO DR, SOUTHFIELD, MI","[-83.2931578, 42.4766812]",3.0,3.0,0.0,13846.0,10.8,20.3,69.6,0.2,4.2,0.0,5.6,N1127,2016-08-18,5.6181851783404175,5.6181851783404175,0.5339802631578947
N7977,MICHIGAN FUELS INC,48034,OAKLAND,"26355 TELEGRAPH RD, SOUTHFIELD, MI","[-83.2861575, 42.4823238]",0.0,0.0,0.0,13846.0,10.8,20.3,69.6,0.2,4.2,0.0,5.6,N7977,2008-02-08,14.14402759810263,9.0,0.0
N8193,MRP PROPERTIES LLC-SOIL REMEDIATION,48034,OAKLAND,"29030 NORTHWESTERN HIGHWAY, SOUTHFIELD, MI","[-83.3078665, 42.5013673]",0.0,0.0,0.0,13846.0,10.8,20.3,69.6,0.2,4.2,0.0,5.6,N8193,2008-12-01,13.330869217027043,9.0,0.0
P0113,SPEEDWAY SUPERAMERICA LLC (SSA #8852),48034,OAKLAND,"22599 TELEGRAPH RD, SOUTHFIELD, MI","[-83.2790519, 42.4571184]",0.0,0.0,0.0,13846.0,10.8,20.3,69.6,0.2,4.2,0.0,5.6,P0113,2010-05-28,11.844185712232283,9.0,0.0
B5779,UNITED PAINT & CHEMICAL CORP,48034,OAKLAND,"24671 TELEGRAPH RD, SOUTHFIELD, MI","[-83.2812881, 42.46972179999999]",2.0,2.0,0.0,13846.0,10.8,20.3,69.6,0.2,4.2,0.0,5.6,B5779,2001-04-04,20.99153302258089,9.0,0.2222222222222222
N6594,X-CEL INDUSTRIES INC.,48034,OAKLAND,"21121 TELEGRAPH RD, SOUTHFIELD, MI","[-83.2795326, 42.44555039999999]",0.0,0.0,1.0,13846.0,10.8,20.3,69.6,0.2,4.2,0.0,5.6,N6594,2014-10-31,7.416990081931867,7.416990081931867,0.0
M4226,"BEST FRIENDS PET CARE, INC.",48035,MACOMB,"33711 HARPER AVE, CLINTON TWP, MI","[-82.8801292, 42.5440719]",0.0,0.0,0.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,M4226,2003-02-03,19.157135327898587,9.0,0.0
B6067,"CHIEFTAIN COATING, LLC.",48035,MACOMB,"35300 KELLY RD., CLINTON TWP, MI","[-82.928895, 42.5554818]",1.0,2.0,1.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,B6067,2003-01-24,19.184514397968474,9.0,0.1111111111111111
N7548,"DETROIT WILBERT CREMATION SERVICES EAST, LLC",48035,MACOMB,"44481 GROESBECK HWY, CLINTON TWP, MI","[-82.8784246, 42.6249647]",0.0,1.0,0.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,N7548,2006-05-18,15.87164691951238,9.0,0.0
P1223,"EASTSIDE METALS, LLC",48035,MACOMB,"34610 NOVA DRIVE, CLINTON TWP, MI","[-82.8805725, 42.5526835]",0.0,0.0,0.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,P1223,2021-09-07,0.5640088434396325,0.5640088434396325,0.0
N7496,LINCOLN MEMORIAL PK CEMETERY,48035,MACOMB,"21661 FOURTEEN MILE RD., CLINTON TWP, MI","[-82.895027, 42.541904]",0.0,2.0,1.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,N7496,2005-12-13,16.298760412602586,9.0,0.0
P0993,PET & ANIMAL CREMATION EXCHANGE,48035,MACOMB,"36419 GROESBECK HIGHWAY, CLINTON TWP, MI","[-82.9158466, 42.5657074]",0.0,1.0,1.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,P0993,2019-02-15,3.1239518949738874,3.1239518949738874,0.0
P1195,TENIBAC-GRAPHION INC,48035,MACOMB,"35155 AUTOMATION DRIVE, CLINTON TWP, MI","[-82.88475509999999, 42.5575476]",0.0,0.0,0.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,P1195,2021-06-25,0.7666139619567821,0.7666139619567821,0.0
N5766,UNI-DIG INC,48035,MACOMB,"21600 QUINN RD, CLINTON TWP, MI","[-82.8991563, 42.5443203]",0.0,0.0,0.0,35317.0,13.8,71.8,23.1,0.2,1.1,0.3,3.5,N5766,2003-10-28,18.426114157032657,9.0,0.0
N6760,"D & B METAL FINISHINGS, LLC",48036,MACOMB,"22803 PATMORE ST, CLINTON TWP, MI","[-82.87917449999999, 42.6254205]",2.0,2.0,0.0,21122.0,15.7,71.5,21.6,1.2,2.4,0.0,3.3000000000000003,N6760,2004-08-05,17.654024381061898,9.0,0.2222222222222222
N7369,INTERNATIONAL MOLD CORPORATION,48036,MACOMB,"23224 GIACOMA COURT, CLINTON TWP, MI","[-82.8757133, 42.6231411]",0.0,1.0,0.0,21122.0,15.7,71.5,21.6,1.2,2.4,0.0,3.3000000000000003,N7369,2004-06-14,17.796395545425298,9.0,0.0
M3511,MACOMB COUNTY ANIMAL CONTROL,48036,MACOMB,"21417 DUNHAM, CLINTON TWP, MI","[-82.8977214, 42.6187486]",0.0,2.0,1.0,21122.0,15.7,71.5,21.6,1.2,2.4,0.0,3.3000000000000003,M3511,2021-12-01,0.3312867478456094,0.3312867478456094,0.0
P0808,ROSATI SPECIALTIES,48036,MACOMB,"24200 CAPITAL BLVD., CLINTON TWP, MI","[-82.86195909999999, 42.6221695]",3.0,3.0,1.0,21122.0,15.7,71.5,21.6,1.2,2.4,0.0,3.3000000000000003,P0808,2017-05-19,4.867998658425567,4.867998658425567,0.6162696850393701
N5767,TWEDDLE GROUP,48036,MACOMB,"24700 MAPLEHURST, CLINTON TWP, MI","[-82.8578364, 42.6247287]",0.0,0.0,0.0,21122.0,15.7,71.5,21.6,1.2,2.4,0.0,3.3000000000000003,N5767,2007-07-13,14.718988069570218,9.0,0.0
N3686,"DIVERSIFIED FABRICATORS, INC.",48038,MACOMB,"21482 CARLO DR, CLINTON TWP, MI","[-82.9009011, 42.6261914]",0.0,1.0,1.0,43253.0,7.9,80.9,13.6,0.4,2.6,0.0,2.6,N3686,2015-07-10,6.727037516170763,6.727037516170763,0.0
B6010,"ELECTROPLATING INDUSTRIES,  INC",48038,MACOMB,"21410 CARLO DRIVE, CLINTON TWP, MI","[-82.9024566, 42.6260976]",2.0,2.0,0.0,43253.0,7.9,80.9,13.6,0.4,2.6,0.0,2.6,B6010,1998-04-14,23.96490003217041,9.0,0.2222222222222222
N7745,RESSURRECTION CEMETERY-CREMATORY,48038,MACOMB,"18201 CLINTON RIVER RD, CLINTON TWP, MI","[-82.93536639999999, 42.591316]",0.0,1.0,1.0,43253.0,7.9,80.9,13.6,0.4,2.6,0.0,2.6,N7745,2022-01-12,0.2162946535520921,0.2162946535520921,0.0
M3517,HENRY FORD HEALTH SYSTEM,48038,MACOMB,"15855 19 MILE, MOUNT CLEMENS, MI","[-82.9595655, 42.6147421]",0.0,2.0,0.0,43253.0,7.9,80.9,13.6,0.4,2.6,0.0,2.6,M3517,2018-10-04,3.4908314339103472,3.4908314339103472,0.0
N7219,TRANSMISSION PHYSICIANS INC.,48039,SAINT CLAIR,"2100 PLANK RD., MARINE CITY, MI","[-82.5115649, 42.7208042]",0.0,0.0,0.0,7559.0,11.2,98.7,0.0,0.1,0.0,0.0,1.1,N7219,2003-05-19,18.869655092164795,9.0,0.0
N6317,SEMCO ENERGY GAS COMPANY - COLLIN FIELD,48039,SAINT CLAIR,"ANGLING RD, STARRVILLE, MI","[-82.5872979, 42.6713246]",1.0,2.0,0.0,7559.0,11.2,98.7,0.0,0.1,0.0,0.0,1.1,N6317,2014-12-02,7.329377057708235,7.329377057708235,0.13643724318266717
B2813,"CDC MARYSVILLE, LLC",48040,SAINT CLAIR,"301  GRATIOT BLVD, MARYSVILLE, MI","[-82.4610593, 42.9247662]",0.0,0.0,0.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,B2813,2000-08-09,21.64315489024415,9.0,0.0
N0871,"CONFORMANCE COATING AND PROTOTYPE, INC",48040,SAINT CLAIR,"2321  BUSHA HWY, MARYSVILLE, MI","[-82.489355, 42.8882918]",2.0,3.0,1.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N0871,2004-04-29,17.92233926774677,9.0,0.2222222222222222
B8824,"HEARTLAND STEEL PRODUCTS, LLC",48040,SAINT CLAIR,"302 CARLETON ST., MARYSVILLE, MI","[-82.4817906, 42.8862567]",3.0,3.0,1.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,B8824,2004-12-09,17.309048098181346,9.0,0.3333333333333333
A6220,INTERTAPE POLYMER GROUP,48040,SAINT CLAIR,"317   KENDALL AVENUE, MARYSVILLE, MI","[-82.481135, 42.884548]",5.0,5.0,5.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,A6220,1999-06-30,22.754745135081485,9.0,0.5555555555555556
N7493,"MARYSVILLE ETHANOL, LLC",48040,SAINT CLAIR,"2512 BUSHA HIGHWAY, MARYSVILLE, MI","[-82.4907187, 42.8858795]",1.0,1.0,0.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N7493,2010-12-07,11.315769659883502,9.0,0.1111111111111111
B4282,"MARYSVILLE HYDROCARBONS, LLC.",48040,SAINT CLAIR,"2510  BUSHA HIGHWAY, MARYSVILLE, MI","[-82.494036, 42.8885947]",3.0,4.0,0.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,B4282,2020-02-24,2.0999746743601855,2.0999746743601855,1.4285886571056061
N6905,MUELLER IMPACTS COMPANY INC.,48040,SAINT CLAIR,"2409 WILLS STREET, MARYSVILLE, MI","[-82.4828837, 42.8858648]",0.0,0.0,0.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N6905,2012-03-21,10.028953366598904,9.0,0.0
N6944,PREGIS,48040,SAINT CLAIR,"2700 WILLS STREET, MARYSVILLE, MI","[-82.48648600000001, 42.8790334]",5.0,6.0,8.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N6944,2010-07-30,11.671697570792007,9.0,0.5555555555555556
N5989,SEMCO ENERGY GAS COMPANY - MORTON WELLS FACILITY,48040,SAINT CLAIR,"1100 GRATIOT AVE, MARYSVILLE, MI","[-82.8849456, 42.58311279999999]",0.0,0.0,1.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N5989,2014-09-24,7.518292641190442,7.518292641190442,0.0
N7411,"SMR AUTOMOTIVE SYSTEMS USA, INC.",48040,SAINT CLAIR,"1875 BUSHA HIGHWAY, MARYSVILLE, MI","[-82.48416879999999, 42.8972449]",0.0,2.0,0.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N7411,2019-06-26,2.7652860770583927,2.7652860770583927,0.0
B6646,SUNOCO PIPELINE L.P. -  MARYSVILLE PUMP STATION,48040,SAINT CLAIR,"250  MURPHY DRIVE, MARYSVILLE, MI","[-82.51159299999999, 42.89996300000001]",2.0,5.0,1.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,B6646,2019-04-15,2.9624153815615655,2.9624153815615655,0.6751247689463955
N5061,"TI FLUID SYSTEMS, (FORMERLY TI GROUP AUTO , MARYS)",48040,SAINT CLAIR,"170 - 184 GRATIOT BLVD, MARYSVILLE, MI","[-82.45799749999999, 42.93172819999999]",2.0,2.0,0.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N5061,2014-09-12,7.551147525274304,7.551147525274304,0.26486040609137057
N3337,"WILKIE BROTHERS CONVEYORS, INC.",48040,SAINT CLAIR,"1765 MICHIGAN AVENUE, MARYSVILLE, MI","[-82.4781525, 42.8985054]",0.0,2.0,1.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N3337,2014-12-18,7.285570545596419,7.285570545596419,0.0
N7795,ZF AXLE DRIVES MARYSVILLE,48040,SAINT CLAIR,"2900 BUSHA HIGHWAY, MARYSVILLE, MI","[-82.4854285, 42.8743077]",2.0,3.0,1.0,9639.0,8.2,96.1,0.5,0.2,0.0,0.0,3.2,N7795,2020-11-13,1.379905131522208,1.379905131522208,1.4493749999999999
A3238,GRACE ENGINEERING,48041,SAINT CLAIR,"11501 LAMBS RD, MEMPHIS, MI","[-82.78105409999999, 42.9245357]",0.0,0.0,0.0,4503.0,6.4,98.6,0.1,0.0,0.0,0.0,1.3,A3238,2010-06-15,11.79490338610649,9.0,0.0
P0696,CINTAS CORPORATION,48042,MACOMB,"51518 QUADRATE DRIVE, MACOMB, MI","[-82.9624217, 42.6759507]",1.0,1.0,0.0,31441.0,5.3,92.7,2.4,0.1,3.3,0.0,1.4,P0696,2018-10-19,3.4497628288055195,3.4497628288055195,0.289875
P0457,HICKS PLASTICS COMPANY LLC,48042,MACOMB,"51308 INDUSTRIAL DRIVE, MACOMB, MI","[-82.9688898, 42.674447]",0.0,1.0,0.0,31441.0,5.3,92.7,2.4,0.1,3.3,0.0,1.4,P0457,2015-07-27,6.680493097051959,6.680493097051959,0.0
N5656,NYLOK LLC,48042,MACOMB,"15260 HALLMARK COURT, MACOMB, MI","[-82.9745174, 42.6742604]",3.0,3.0,3.0,31441.0,5.3,92.7,2.4,0.1,3.3,0.0,1.4,N5656,2011-11-10,10.390357091521386,9.0,0.3333333333333333
A3569,"AXALTA COATING SYSTEMS U.S.A., LLC",48043,MACOMB,"400 GROESBECK HWY, MOUNT CLEMENS, MI","[-82.88710999999999, 42.6125446]",4.0,4.0,2.0,14857.0,20.1,70.3,24.6,0.4,0.1,0.0,4.6,A3569,1997-01-22,25.18874446429427,9.0,0.4444444444444444
N7546,DETROIT WATER & SEWERAGE DEPT.-CLINTONDALE LIFT,48043,MACOMB,"34975 UNION LAKE RD, MOUNT CLEMENS, MI","[-82.8651134, 42.5528595]",0.0,0.0,0.0,14857.0,20.1,70.3,24.6,0.4,0.1,0.0,4.6,N7546,2006-05-24,15.855219477470447,9.0,0.0
N6509,HYDRA LOCK CORP,48043,MACOMB,"25000 JOY BLVD, MOUNT CLEMENS, MI","[-82.85775230000002, 42.6088119]",0.0,2.0,0.0,14857.0,20.1,70.3,24.6,0.4,0.1,0.0,4.6,N6509,1998-09-14,23.546000260101167,9.0,0.0
N8279,MICHIGAN BELL TELEPHONE DBA AT & T MICHIGAN,48043,MACOMB,"100 S MAIN ST, MOUNT CLEMENS, MI","[-82.879961, 42.5945083]",0.0,0.0,0.0,14857.0,20.1,70.3,24.6,0.4,0.1,0.0,4.6,N8279,2009-05-19,12.868162932845985,9.0,0.0
N3308,POWDER COTE II,48043,MACOMB,"60 N ROSE ST, MOUNT CLEMENS, MI","[-82.894449, 42.60138999999999]",0.0,0.0,0.0,14857.0,20.1,70.3,24.6,0.4,0.1,0.0,4.6,N3308,1997-09-30,24.501529805540155,9.0,0.0
