company,address,srn,approved
CALUMET ELECTRONICS,25830 DEPOT STREET,A1430,6/21/2005
CALUMET ELECTRONICS,25830 DEPOT STREET,A1430,6/12/2006
CALUMET ELECTRONICS,25830 DEPOT STREET,A1430,6/1/2016
"BERNE FOUNDRY, LLC",7190 BERNE ROAD,A1453,6/2/2020
"BERNE FOUNDRY, LLC",7190 BERNE ROAD,A1453,10/14/2021
HUNTSMAN ADVANCED MATERIALS,4917 DAWN AVENUE,A1571,3/2/2000
SUPERIOR BRASS & ALUMINUM,4893 DAWN AVENUE,A1588,4/6/2017
SUPERIOR BRASS & ALUMINUM,4893 DAWN AVENUE,A1588,1/10/2020
BARNES AEROSPACE,5300 AURELIUS ROAD - LANSING,A1614,7/31/2007
"PRATT & WHITNEY AUTOAIR, INC",5640 ENTERPRISE DRIVE,A1637,7/22/2003
DEMMER CORPORATION,736 MCKINLEY STREET,A1640,9/28/2007
LOC PERFORMANCE PRODUCTS,1600 N LARCH STREET,A1640,7/25/2018
LOC PERFORMANCE PRODUCTS,1600 N LARCH STREET,A1640,10/16/2018
GENERAL MOTORS CORPORATION,920 TOWNSEND STREET - BOC,A1641,12/19/2000
GENERAL MOTORS CORPORATION,920 TOWNSEND STREET - BOC,A1641,3/13/2003
GENERAL MOTORS CORPORATION,920 TOWNSEND STREET - BOC,A1641,3/13/2006
GENERAL MOTORS CORPORATION,920 TOWNSEND STREET - GRAND,A1641,9/23/2011
GENERAL MOTORS CORPORATION,920 TOWNSEND STREET - BOC,A1641,5/9/2017
MICHNER PLATING COMPANY,1725 ANGLING ROAD,A1844,3/28/1997
INDUSTRIAL STEEL TREATING,613 CARROLL STREET,A1864,5/16/2018
INDUSTRIAL STEEL TREATING,613 CARROLL STREET,A1864,6/18/2018
CLASSIC METAL FINISHES,2500 W ARGYLE STREET,A1916,12/15/2017
"ROYAL ADHESIVES & SEALANTS,",4401 PAGE AVENUE,A1932,8/5/2014
KALSEC EXTRACTION,3713 W MAIN STREET,A1991,4/27/2005
"KALSEC, INC",3713 W MAIN STREET,A1991,1/16/1997
"KALSEC, INC",3713 W MAIN STREET,A1991,7/14/2014
"KALSEC, INC",3713 W MAIN STREET,A1991,3/29/2021
"KALSEC, INC",3713 W MAIN STREET,A1991,6/21/2021
BORROUGHS CORPORATION,3002 N BURDICK STREET,A2005,2/3/2003
ROOT SPRING SCRAPER COMPANY,527 W NORTH STREET,A2111,6/20/2002
KEEBLER COMPANY,3300 ROGER B CHAFFEE BLVD,A2198,2/27/2019
"BULMAN PRODUCTS, INC",1650 MCREYNOLDS AVENUE NW,A2208,3/20/2017
NUCRAFT FURNITURE COMPANY,5151 W RIVER DRIVE,A2254,9/11/2014
"ACCESS BUSINESS GROUP, LLC",7575 FULTON STREET EAST,A2402,11/16/2021
"STEPHENSON & LAWYER, INC",3831 PATTERSON AVENUE SE,A2416,8/16/2006
"MICHIGAN CUSTOM PACKAGING,",3761 EASTERN AVENUE SE,A2448,9/10/2018
LOUIS PADNOS IRON & METAL,2001 TURNER AVENUE NW,A2457,2/7/2011
HICKORY HARDWARE COMPANY,3100 BROADWAY AVENUE SW,A2464,5/29/2007
QUALITY NON-FERROUS FOUNDRY,1251 JUDD STREET SW,A2465,8/23/2019
INDUSTRIAL FINISHING COMPANY,3620 MILL CREEK DRIVE NE,A2481,3/30/2009
KNAPE & VOGT MANUFACTURING,2700 OAK INDUSTRIAL DRIVE NE,A2486,1/4/2006
MANNESMANN DEMATIC RAPISTAN,507 PLYMOUTH AVENUE NE,A2533,5/20/1997
MICHIGAN PAVING & MATERIALS,3566 MILL CREEK DRIVE NE,A2534,8/3/2007
GRAND RAPIDS ELECTRIC MOTOR,1057 COTTAGE GROVE STREET SE,A2582,4/8/2016
"G M COMPONENTS HOLDINGS, LLC",2100 BURLINGAME AVENUE SW,A2620,8/15/2019
"G M COMPONENTS HOLDINGS, LLC",2100 BURLINGAME AVENUE SW,A2620,2/5/2021
GENERAL MOTORS CORPORATION,2100 BURLINGAME AVENUE SW -,A2620,5/20/1998
"NATIONAL RESOURCES, LLC",4141 EASTERN AVENUE SE,A2623,6/24/2003
"AMERIKAM, INC",1337 JUDD AVENUE SW,A2677,7/29/2005
"EXPERT COATING COMPANY, INC",2855 MARLIN COURT NW,A2722,4/6/2022
MOLD MASTERS COMPANY,1455 IMLAY CITY ROAD,A2809,1/29/2021
WACKER CHEMICAL CORPORATION,3301 SUTTON ROAD,A2840,9/23/2021
WACKER CHEMICAL CORPORATION,3301 SUTTON ROAD,A2849,10/24/2007
WACKER CHEMICAL CORPORATION,3301 SUTTON ROAD,A2849,4/4/2018
ANDERSON DEVELOPMENT,1415 E MICHIGAN STREET,A2851,4/13/2016
"ADRIAN FABRICATORS, INC",412 W BEECHER STREET,A2862,3/26/1997
BLISSFIELD MANUFACTURING,626 DEPOT STREET,A2889,8/29/2007
GLOBAL ENTERPRISES,50450 E RUSSELL SCHMIDT BLVD,A3037,10/24/2014
GRACE ENGINEERING,11501 LAMBS ROAD,A3238,6/15/2010
CADILLAC PLATING CORPORATION,23849 GROESBECK HIGHWAY,A3301,5/23/2019
"CADILLAC ASPHALT, LLC",67 MARY STREET,A3352,4/15/2004
FORD MOTOR COMPANY,39000 MOUND ROAD - STERLING,A3567,3/20/2018
"AXALTA COATING SYSTEMS, LLC",400 GROESBECK HIGHWAY -,A3569,10/24/2014
"AXALTA COATING SYSTEMS, LLC",400 GROESBECK HIGHWAY -,A3569,5/14/2015
"AXALTA COATING SYSTEMS, LLC",400 GROESBECK HIGHWAY -,A3569,10/2/2015
"AXALTA COATING SYSTEMS, LLC",400 GROESBECK HIGHWAY -,A3569,1/18/2017
"AXALTA COATING SYSTEMS, LLC",400 GROESBECK HIGHWAY -,A3569,3/31/2017
"AXALTA COATING SYSTEMS, LLC",400 GROESBECK HIGHWAY -,A3569,10/31/2017
DUPONT PERFORMANCE,400 GROESBECK HIGHWAY -,A3569,4/2/2013
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,1/22/1997
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,9/17/1999
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,11/12/1999
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,4/26/2004
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,11/8/2004
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,12/16/2004
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,12/20/2004
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,7/28/2005
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,10/31/2006
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,11/13/2006
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,12/20/2006
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,2/2/2007
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,2/9/2007
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,9/8/2008
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,9/25/2008
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,6/24/2009
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,5/28/2010
E I DUPONT DE NEMOURS &,400 GROESBECK HIGHWAY -,A3569,11/10/2010
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,11/26/1997
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,6/26/1998
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,4/13/2007
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,1/10/2012
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,11/14/2013
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,7/27/2015
MARTIN MARIETTA MAGNESIA,1800 E LAKE ROAD,A3900,1/27/2017
GREAT LAKES CASTINGS,800 N WASHINGTON AVENUE,A3934,6/19/1998
GREAT LAKES CASTINGS,800 N WASHINGTON AVENUE,A3934,3/5/2002
GREAT LAKES CASTINGS,800 N WASHINGTON AVENUE,A3934,1/9/2003
GREAT LAKES CASTINGS,800 N WASHINGTON AVENUE,A3934,5/4/2004
"GREAT LAKES CASTINGS, LLC",800 N WASHINGTON AVENUE,A3934,3/20/2007
"GREAT LAKES CASTINGS, LLC",800 N WASHINGTON AVENUE,A3934,11/14/2007
"GREAT LAKES CASTINGS, LLC",800 N WASHINGTON AVENUE,A3934,3/25/2009
"GREAT LAKES CASTINGS, LLC",800 N WASHINGTON AVENUE,A3934,4/20/2012
"GREAT LAKES CASTINGS, LLC",800 N WASHINGTON AVENUE,A3934,11/5/2013
L E JONES COMPANY,1200 34TH AVENUE,A3999,4/12/2007
"MCKAY PRESS, INC",215 STATE STREET,A4027,7/2/2008
DOW CHEMICAL COMPANY,1000 BUILDING,A4033,10/31/1997
DOW CHEMICAL COMPANY,1297 BUILDING,A4033,2/20/1998
DOW CHEMICAL COMPANY,680 & 954 BUILDINGS,A4033,5/28/1998
DOW CHEMICAL COMPANY,1130 BUILDING,A4033,9/22/1998
DOW CHEMICAL COMPANY,BUILDING 1261,A4033,2/13/2001
DOW CHEMICAL COMPANY,1261 BUILDING,A4033,5/16/2001
DOW CHEMICAL COMPANY,32 INCINERATOR,A4033,9/6/2001
DOW CHEMICAL COMPANY,BUILDING 1261,A4033,6/17/2003
DOW CHEMICAL COMPANY,954 BUILDING,A4033,7/3/2003
DOW CHEMICAL COMPANY,BUILDING 1261,A4033,10/7/2003
DOW CHEMICAL COMPANY,458 BUILDING,A4033,10/27/2003
DOW CHEMICAL COMPANY,10TH STREET,A4033,4/1/2004
DOW CHEMICAL COMPANY,954 BUILDING,A4033,4/22/2004
DOW CHEMICAL COMPANY,830 BUILDING,A4033,4/29/2004
DOW CHEMICAL COMPANY,E STREET,A4033,5/12/2004
DOW CHEMICAL COMPANY,684 BUILDING,A4033,9/10/2004
DOW CHEMICAL COMPANY,1130 BUILDING,A4033,9/17/2004
DOW CHEMICAL COMPANY,954 BUILDING,A4033,10/21/2004
DOW CHEMICAL COMPANY,BUILDING 1261,A4033,11/2/2004
DOW CHEMICAL COMPANY,564 BUILDING,A4033,12/9/2004
DOW CHEMICAL COMPANY,353 BUILDING,A4033,2/25/2005
DOW CHEMICAL COMPANY,588 BUILDING,A4033,4/19/2005
DOW CHEMICAL COMPANY,"963, 458 & 938 BUILDINGS",A4033,5/6/2005
DOW CHEMICAL COMPANY,"BUILDING 1261, (941 BUILDING)",A4033,5/27/2005
DOW CHEMICAL COMPANY,SW OF 18TH - 941 BUILDING,A4033,8/4/2005
DOW CHEMICAL COMPANY,"1255, 686, 1140 BUILDINGS",A4033,9/6/2005
DOW CHEMICAL COMPANY,18TH & G STREETS - 1350 BUILDING,A4033,10/28/2005
DOW CHEMICAL COMPANY,374 BUILDING,A4033,5/24/2006
DOW CHEMICAL COMPANY,1005 BUILDING,A4033,9/7/2006
DOW CHEMICAL COMPANY,298 BUILDING,A4033,9/19/2006
DOW CHEMICAL COMPANY,13TH STREET - 954 BUILDING,A4033,12/1/2006
DOW CHEMICAL COMPANY,16TH STREET - 1000 BUILDING,A4033,12/15/2006
DOW CHEMICAL COMPANY,1053 BUILDING,A4033,12/15/2006
DOW CHEMICAL COMPANY,298 BUILDING,A4033,6/22/2007
DOW CHEMICAL COMPANY,13TH STREET - 954 BUILDING,A4033,9/26/2007
DOW CHEMICAL COMPANY,H STREET - MICHIGAN OPERATIONS,A4033,4/16/2008
DOW CHEMICAL COMPANY,941 BUILDING - MICHIGAN,A4033,6/10/2008
DOW CHEMICAL COMPANY,743 BUILDING,A4033,8/14/2008
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,9/15/2008
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,12/10/2008
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,7/9/2009
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,7/23/2009
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,2/24/2010
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,3/7/2011
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,3/30/2012
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,8/1/2013
DOW CHEMICAL COMPANY,1790 BUILDING,A4033,8/5/2013
DOW CHEMICAL COMPANY,100 BUILDING,A4033,6/23/2015
DOW CHEMICAL COMPANY,MICHIGAN OPERATIONS 34,A4033,7/26/2016
DOW CHEMICAL COMPANY USA,959 BUILDING - MIDLAND PLANT,A4033,8/25/2014
DOW CHEMICAL COMPANY USA,948 BUILDING - MIDLAND PLANT,A4033,9/17/2014
DOW CHEMICAL COMPANY USA,941 BUILDING - MIDLAND PLANT,A4033,7/17/2015
DOW CHEMICAL COMPANY USA,1790 BUILDING,A4033,2/13/2018
DOW CHEMICAL COMPANY USA,1790 BUILDING,A4033,4/3/2018
DOW CHEMICAL COMPANY USA,1790 BUILDING,A4033,9/4/2018
DOW CHEMICAL COMPANY USA,100 BUILDING,A4033,1/11/2019
DOW CHEMICAL COMPANY USA,858 BUILDING,A4033,1/18/2019
DOW CHEMICAL COMPANY USA,1353 BUILDING,A4033,1/26/2021
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/4/1997
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,7/15/1997
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/16/1997
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/23/1997
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/2/1998
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/25/1998
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/19/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/3/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/11/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/11/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/22/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/22/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/30/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,11/16/1999
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,1/27/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/29/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/29/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/22/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/18/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/24/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/31/2000
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/14/2001
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,4/20/2001
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,10/17/2001
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,10/17/2002
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/15/2003
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,12/5/2003
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,4/8/2004
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/25/2004
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/10/2006
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/30/2006
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/12/2006
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,7/10/2006
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,10/2/2006
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,5/31/2007
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/19/2007
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,7/11/2007
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/5/2007
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,11/21/2007
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,12/13/2007
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,1/10/2008
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/7/2008
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/13/2008
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/26/2008
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,5/12/2008
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/6/2008
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/16/2009
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,12/21/2012
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/26/2013
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/26/2013
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/26/2013
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,5/31/2013
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,7/9/2013
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,2/10/2014
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,3/24/2014
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,5/12/2014
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,7/7/2014
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,10/3/2014
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,5/11/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/16/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/10/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/10/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/27/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,8/27/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,11/30/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,12/10/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,12/11/2015
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,1/29/2016
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,6/8/2016
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,7/14/2016
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,9/29/2016
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,11/15/2016
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,11/15/2016
DOW CORNING CORPORATION,3901 S SAGINAW ROAD - MIDLAND,A4043,1/11/2017
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 502,A4043,5/14/2018
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 1790,A4043,7/10/2019
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 1790,A4043,8/30/2019
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 304,A4043,3/5/2020
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - MICHIGAN,A4043,9/8/2020
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - MICHIGAN,A4043,4/22/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 505,A4043,5/7/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 505,A4043,5/12/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 602,A4043,5/14/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 501,A4043,5/14/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/19/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/19/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/19/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/19/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/19/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/21/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 207,A4043,5/21/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2504,A4043,5/24/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2504,A4043,5/24/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 212,A4043,5/25/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2504,A4043,5/27/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2504,A4043,5/27/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 502,A4043,5/28/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 212,A4043,6/3/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2504,A4043,6/4/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2540,A4043,6/4/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2703,A4043,6/25/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 324,A4043,6/25/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 322,A4043,6/25/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 2540,A4043,6/25/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 322,A4043,6/27/2021
DOW SILICONES CORPORATION,3901 S SAGINAW ROAD - 322,A4043,6/28/2021
